フレディVSジェイソン Freddy vs. Jason (2003) ,When Darkness Falls,When Darkness Falls,The End of Heartache (Special Edition),Killswitch Engage,2004-05-03,232546,44,8,1,0.437,0.000421,0.952,0.00335,0.248,-3.433,0.0769,89.996,4,0.332,Pretender,0.9955175750428871,アゲイン,0.9968663164722313,オレンジ,0.9948695315271601,ハイスクール [ANIME SIDE] -Alternative-,0.9983437346805841,FLY HIGH!!,0.9941394581186278
しあわせなら手をたたこう (2005) ,桃色と灰色,桃色と灰色,シュガームーン*シャンゼリゼ,speena,2005-11-30,286506,0,0,1,0.734,0.733,0.235,0.000112,0.114,-10.291,0.0311,129.951,4,0.512,Myra,0.9974720663457557
ほーむめーかー (2004) ,DO MY BEST,DO MY BEST,FASTLANE,A1 Joda,2013-10-13,226837,0,1,1,0.562,0.122,0.732,0,0.109,-7.906,0.174,120.295,4,0.939,snow jam,0.9934926763143491
友達の恋人 (1997) ,WONDER,WONDER,WONDER,morgxn,2020-07-16,225720,45,6,1,0.518,0.00367,0.677,1.76e-06,0.168,-5.963,0.0439,99.9,4,0.364,キンモクセイ,0.9957167443794153
ウォーターボーイズ WATER BOYS (2003) ,虹,虹,虹,Masaki Suda,2020-11-10,258733,72,5,1,0.548,0.071,0.6,0,0.192,-5.049,0.0297,143.961,4,0.296,虹,1.0
ブラザーズ＆シスターズ Brothers & Sisters (2006) ,Throw Me a Rope,Throw Me a Rope,Throw Me a Rope,Whale and the Wolf,2021-08-05,178106,37,11,0,0.68,0.0643,0.868,2.89e-06,0.0863,-5.657,0.0384,98.487,4,0.721,不可幸力,0.997834217261264,NEW ERA,0.9975459346912262,マトリョシカ,0.9939042126647127,ヒバナ -Reloaded-,0.9966619911034315
エボリューション Evolution (2001) ,Out with a Bang,Out with a Bang,Out with a Bang,NVDES,2021-09-20,145402,34,2,1,0.653,0.00523,0.929,0.00741,0.369,-5.378,0.324,120.001,4,0.56,サントラ,0.9898917698284131,右に曲ガール(カバー),0.9918442718840316
新・はんなり菊太郎 ～京・公事宿(くじやど)事件帳～ (2007) ,口笛,口笛,Q,Mr.Children,2000-09-27,348866,46,2,1,0.574,0.00436,0.717,3.25e-05,0.126,-5.6,0.0235,96.992,4,0.445,マリーゴールド,0.996890281585868,115万キロのフィルム,0.9975692060862638
101回目のプロポーズ (1991) ,SAY YES,SAY YES,Summer Nights,TWICE,2018-07-09,182946,47,10,1,0.634,0.238,0.673,0,0.226,-3.989,0.0785,80.009,4,0.366,Lemon,0.9948805971722035
すてきにコモン！ (2006) ,ハートに火をつけて,ハートに火をつけて,ハートに火をつけて,ZARD,2006-05-10,298118,36,3,1,0.612,0.535,0.802,0.00179,0.371,-5.31,0.0395,145.954,4,0.702,まちがいさがし,0.9911042883722668,合法的トビ方ノススメ,0.9874691723628791,キュン,0.9945477923954141
アウトリミット (2005) ,horoscope,horoscope,horoscope,Carter Rubin,2021-10-22,127931,38,9,1,0.474,0.349,0.331,0,0.42,-11.162,0.0663,173.903,4,0.13,愛にできることはまだあるかい,0.9947538426526825
007/ダイヤモンドは永遠に Diamonds Are Forever (1971) ,Diamonds Are Forever,Diamonds Are Forever,Let Me Sing and I'm Happy,Shirley Bassey,1998,161933,56,4,0,0.48,0.74,0.447,0.00437,0.0858,-10.962,0.036,96.771,4,0.255,三文小説,0.9798875910555074
どんど晴れ (2007) ,ダイジョウブ,ダイジョウブ,Daijoubu,Girls2,2019-06-26,195600,11,1,0,0.682,0.0114,0.972,0,0.36,-2.864,0.039,130.017,4,0.886,ハルジオン,0.998338343979981,秒針を噛む,0.9977414759930878,クリームソーダとシャンデリア,0.9964011828662751,ウミユリ海底譚,0.9926724346150911
向田邦子の恋文 (2004) ,夢なかば,夢なかば,江戸ポルカ / 夢なかば,Yo Hitoto,2003-11-12,208266,0,7,1,0.682,0.193,0.662,0,0.117,-4.812,0.0299,135.995,4,0.937,Flamingo,0.9946151708514895
恋は戦い！ LOVE&FIGHT (2003) ,Dancing Queen,Dancing Queen,Arrival,ABBA,1976,230400,82,9,1,0.543,0.358,0.87,0.000939,0.792,-6.514,0.0428,100.804,4,0.754,パプリカ,0.9883721410698872
コスメの魔法2 (2005) ,Butterfly,Butterfly,The Gift Of Game,Crazy Town,1999-11-04,216733,73,9,0,0.736,0.00132,0.811,0.000142,0.107,-4.17,0.081,103.502,4,0.609,感電,0.9942348521759026,かつて天才だった俺たちへ,0.9977957975503251
音符と昆布 (2008) ,Soul Mate,Soul Mate,Soul Mate,flora cash,2021-04-23,237780,59,1,1,0.423,0.771,0.375,0.0018,0.117,-11.792,0.0339,95.239,4,0.308,"Into the Unknown - From ""Frozen 2""",0.9978799539671703
えいがでとーじょー！たまごっち ドキドキ！うちゅーのまいごっち！？ (2007) ,たまごっち,たまごっち,キグルミのこどものうた,kigurumi,2008-07-09,232155,6,5,1,0.758,0.311,0.916,0.011,0.0886,-5.971,0.0362,120.056,4,0.968,ただ君に晴れ,0.9965697790801411,だから僕は音楽を辞めた,0.9953697726051343
深紅 The Deep Red (2005) ,Lights,Lights,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,BTS,2020-07-14,292853,70,5,1,0.608,0.156,0.644,0,0.124,-5.588,0.0314,99.005,4,0.431,打上花火,0.9933362805622056
anego[アネゴ]スペシャル (2005) ,KISS or KISS,KISS or KISS,18 -eighteen-,Nana Kitade,2005-08-24,237506,28,8,1,0.628,0.068,0.946,0,0.0864,-4.012,0.0473,135.924,4,0.908,U.S.A.,0.9983087310779547
恋の時間 (2005) ,恋する気持ち,恋する気持ち,Love Collection 2 Pink,Kana Nishino,2013,327293,23,6,1,0.559,0.39,0.823,0,0.28,-3.716,0.0442,154.061,4,0.479,インフルエンサー,0.9949133858794437
ジャンパー Jumper (2008) ,Blackened Blue Eyes,Blackened Blue Eyes,Simpatico,The Charlatans,2006-04-17,259866,33,3,1,0.448,0.00107,0.91,2.66e-05,0.398,-4.889,0.0372,97.021,4,0.624,インフェルノ,0.9917237549300325
ラフ Rough (2006) ,ガラナ,ガラナ,POPMAN’S WORLD ~All Time Best 2003-2013~,Sukima Switch,2013-08-21,268266,36,1,1,0.556,0.0565,0.945,0,0.337,-3.359,0.0413,141.964,4,0.847,サイレントマジョリティー,0.9944164350773399,ミュージック・アワー,0.9942386820315327,ノーダウト,0.9988873065174796,弱虫モンブラン,0.9982194510428617,ヒプノシスマイク -Division Battle Anthem-,0.9979442502560147
ガリレオ Galileo (2007) ,KISSして,KISSして,KISSして,Masaharu Fukuyama,2010-11-17,222626,23,6,1,0.467,0.000353,0.851,0,0.33,-4.203,0.0526,93.873,4,0.644,シグナル,0.9967954201019101,Walking with you,0.9902351943835457,swim,0.9937148590951944
不機嫌なジーン (2005) ,feel my soul,feel my soul,From Me To You,YUI,2006-02-22,228666,24,5,1,0.412,0.153,0.798,0,0.205,-4.255,0.0454,184.054,4,0.483,クリスマスソング,0.9972828513909616
青い鳥症候群(シンドローム) (1999) ,LOVE FLIES,LOVE FLIES,REAL,L'Arc-en-Ciel,2000,294466,36,0,1,0.504,2.19e-05,0.94,0.0848,0.102,-3.122,0.0456,121.978,4,0.505,Remember Me,0.9957595433938231
ひとりぼっちの君に (1998) ,太陽のグラヴィティー,太陽のグラヴィティー,CRAVING,Fayray,2013-09-11,245120,17,6,0,0.622,0.0416,0.972,0.00113,0.325,-1.83,0.0336,128.047,4,0.775,新宝島,0.9951547416301028,サウダージ,0.9965610418590245,あの娘シークレット,0.9972770916112665,乙女解剖,0.9985109136496172,劣等上等 feat. 鏡音リン・レン,0.9931390625625582,右肩の蝶,0.9898421605316166,Touch You - 田村ver.,0.9996364303545262
マイ・ガール2 My Girl 2 (1994) ,My Girl,My Girl,The Temptations Sing Smokey,The Temptations,1965-03-22,165000,79,0,1,0.572,0.635,0.418,0,0.0961,-10.738,0.0349,104.566,4,0.694,カタオモイ,0.9870581514766331
CAとお呼びっ！ (2006) ,Fly High,Fly High,Out of Light,Slushii,2017-08-04,241438,26,6,1,0.582,0.0302,0.962,0.0259,0.106,-3.325,0.0348,145.967,4,0.366,Wasted Nights,0.9979632916368563
トランスフォーマー Transformers (2007) ,What I've Done,What I've Done,Minutes to Midnight,Linkin Park,2007-05-14,205613,77,5,1,0.623,0.0141,0.93,1.64e-06,0.138,-5.285,0.0324,120.119,4,0.287,us,0.9937282973203077
新・はんなり菊太郎 ～京・公事宿(くじやど)事件帳～ (2007) ,口笛,口笛,Q,Mr.Children,2000-09-27,348866,46,2,1,0.574,0.00436,0.717,3.25e-05,0.126,-5.6,0.0235,96.992,4,0.445,マリーゴールド,0.996890281585868,115万キロのフィルム,0.9975692060862638
私は貝になりたい (2008) ,花の匂い,花の匂い,SUPERMARKET FANTASY,Mr.Children,2008-12-10,310906,41,2,1,0.428,0.448,0.531,0,0.0723,-7.115,0.0285,143.992,4,0.282,会いたいよ,0.9968417940743556
パーフェクトラブ！ Perfect Love! (1999) ,ここではない、どこかへ,ここではない、どこかへ,HEAVY GAUGE,GLAY,1999-10-20,349000,23,9,1,0.484,0.034,0.885,0,0.136,-5.555,0.0404,136.979,4,0.525,ワタリドリ,0.9984636211670304
暖流 (2007) ,すばらしい想い,すばらしい想い,すばらしい想い,Nangi,2007-06-06,280000,0,5,1,0.595,0.319,0.797,0,0.368,-3.399,0.0554,119.925,4,0.434,ヒカリヘ,0.9938709617469126
オトコの子育て (2007) ,Beautiful Life,Beautiful Life,The Bridge,Ace of Base,1995-11-07,221186,65,0,0,0.749,0.202,0.988,0.00631,0.17,-5.266,0.0387,135.015,4,0.749,私以外私じゃないの,0.9961902094527837,遠心,0.9947983272207732,ベイサイド・スモーキングブルース,0.9875802061543683
ほたるの星 (2004) ,初恋,初恋,初恋,回春丹,2021-08-29,222315,41,6,1,0.748,0.362,0.782,0,0.131,-5.988,0.029,128.053,4,0.75,世界はあなたに笑いかけている,0.9948268044226194
ホワイトナイツ/白夜 White Nights (1985) ,"Say You, Say Me","Say You, Say Me",Dancing On The Ceiling (Expanded Edition),Lionel Richie,1986,241066,70,8,1,0.636,0.355,0.405,0,0.0804,-11.113,0.0287,128.068,4,0.257,かくれんぼ,0.9980287712960011
超劇場版 ケロロ軍曹2 深海のプリンセスであります！ (2007) ,その手をつないで,その手をつないで,Song is Beautiful,Misato Watanabe,1985,311240,15,10,1,0.745,0.223,0.836,1.47e-06,0.103,-3.01,0.0436,104.99,4,0.664,Never Grow Up,0.9955340147538281,傘,0.9970278952388615,Prince,0.998448170659878,きらきら,0.9940536038789289
真夜中の雨 (2002) ,そんなもんだろう,そんなもんだろう,孤独,Sharam Q,1998,269333,20,1,1,0.601,0.00062,0.892,0,0.31,-6.989,0.0484,136.058,4,0.506,恋音と雨空,0.9982116440611285
猫の恩返し (2002) ,風になる,風になる,恋恋風歌,Ayano Tsuji,2003-05-21,276600,56,0,1,0.641,0.239,0.669,3e-06,0.117,-5.558,0.0318,134.925,4,0.55,君がくれた夏,0.995338990832009
グーニーズ The Goonies (1985) ,Goonies 'R' Good Enough,Goonies 'R' Good Enough,The Manges 'R' Good Enough,The Manges,2001-10-08,153560,6,1,0,0.306,0.000592,0.88,0,0.0542,-2.269,0.0392,96.014,4,0.469,紅蓮の弓矢,0.9873676451766882
H2～君といた日々～ (2005) ,over...,over...,K-BEST,K,2005,326960,28,7,1,0.485,0.0107,0.585,2.19e-05,0.173,-6.553,0.0278,161.935,4,0.234,アイノカタチ,0.9966673469160032
フルスイング (2008) ,あの花のように,あの花のように,スピード☆スター,Aya Hirano,2009-11-18,235453,5,7,1,0.577,0.0266,0.818,0,0.289,-7.857,0.0329,153.897,4,0.837,夜に駆ける,0.9982441258047795,恋,0.9966045321358183,天上天下,0.9966655459661289
お仕事です！ (1998) ,まかせなさい,まかせなさい,ベストだぜ!!,Ulfuls,2001-04-28,241040,21,5,1,0.611,0.00549,0.91,0,0.0992,-4.931,0.0338,126.985,4,0.625,STAY TUNE,0.9987226758845987,帝国少女,0.9962366589630958
恋しくて (2007) ,BEGIN,BEGIN,Every Little Thing LIVE TOUR エンディングコレクション,Every Little Thing,2016-12-14,398813,12,3,1,0.405,0.0184,0.541,1.52e-05,0.293,-5.43,0.0266,151.956,4,0.21,Wherever you are,0.9957048316135024
京都迷宮案内 (1999) ,Perfect Circle,Perfect Circle,Luv(sic) Hexalogy,Nujabes,2015-12-09,240666,46,11,0,0.826,0.634,0.524,0.000119,0.106,-11.631,0.0607,80.737,4,0.815,愛のままに,0.9934538431655452,"Merry Go Round feat. BASI, 唾奇, VIGORMAN & WILYWNKA",0.989549257451874
アイシールド21 Eye Shield 21 (2005) ,BE FREE,BE FREE,ALL SINGLeeeeS ~& New Beginning~,GReeeeN,2017-01-24,278560,24,1,1,0.619,0.0784,0.903,0,0.143,-6.295,0.0306,108.98,4,0.635,HANABI,0.9964904736813925
無理な恋愛 (2008) ,忘れもの,忘れもの,WAO!!,ORESKABAND,2007-05-23,255226,8,9,1,0.517,0.012,0.964,0.000298,0.102,-3.804,0.16,193.995,4,0.46,高嶺の花子さん,0.9971804018384073
すてきにコモン！ (2006) ,ハートに火をつけて,ハートに火をつけて,ハートに火をつけて,ZARD,2006-05-10,298118,36,3,1,0.612,0.535,0.802,0.00179,0.371,-5.31,0.0395,145.954,4,0.702,まちがいさがし,0.9911042883722668,合法的トビ方ノススメ,0.9874691723628791,キュン,0.9945477923954141
愛をください (2000) ,ZOO,ZOO,ZOO,WVLFSN,2021-06-11,173836,24,8,1,0.603,0.0604,0.737,0.0154,0.266,-10.27,0.0294,101.022,4,0.663,君はロックを聴かない,0.995104190678073
時をかける少女 (2006) ,ガーネット,ガーネット,ダレカの地上絵,Aqua Timez,2007,312586,20,9,1,0.452,0.0854,0.803,0,0.241,-2.916,0.0397,175.916,4,0.392,I LOVE...,0.997570275845384,アスノヨゾラ哨戒班,0.9984451481117042
マイ★ボス マイ★ヒーロー (2006) ,宙船,宙船,LOUD EATS J-POP,Ghost Company,2014-02-18,213240,23,1,1,0.481,0.00269,0.96,0.00774,0.326,-3.706,0.0651,150.137,4,0.583,さよならエレジー,0.9994806695771383,アボカド,0.9982144279938853,アンドロイドガール,0.9988158117327358
砂の器 (2004) ,やさしいキスをして,やさしいキスをして,DIAMOND15,DREAMS COME TRUE,2004-12-08,230800,23,7,0,0.496,0.169,0.697,9.63e-06,0.128,-3.717,0.0278,83.878,4,0.256,ハッピーエンド,0.9892694883878385
イルマーレ The Lake House (2006) ,This Never Happened Before,This Never Happened Before,Chaos And Creation In The Backyard,Paul McCartney,2005-09-12,204240,50,7,1,0.502,0.685,0.408,0.00263,0.12,-8.443,0.0305,161.06,4,0.346,レット・イット・ゴー~ありのままで~ - Japanese Version,0.9974967642005544
十年愛 (1992) ,ありがとう,ありがとう,Chou Ikimonobakari Tennen Kinen Members Best Selection,Ikimonogakari,2006,359813,41,0,1,0.527,0.0981,0.744,0,0.299,-4.321,0.0294,79.042,4,0.341,飛行艇,0.9948639783487795
"魁!!男塾 SAKIGAKE!! OTOKOJUKU ""BE A MAN! SAMURAI SCHOOL"" (2008) ",刃,刃,BEST THE BACK HORN,THE BACK HORN,2008-01-23,209800,34,8,0,0.383,5.87e-05,0.972,6.49e-06,0.331,-3.242,0.0849,151.001,4,0.518,女々しくて,0.991283468546513,雨とペトラ,0.9937729891841196
子ぎつねヘレン (2006) ,太陽の下,太陽の下,HORIZON,Remioromen,2006-05-17,309400,34,6,1,0.565,0.0361,0.675,0.053,0.236,-5.219,0.0269,107.998,4,0.322,ボイスメモ No. 5,0.9914135050500589
ラストラブ Last Love (2007) ,Jewelry day,Jewelry day,JUMP,Miyu Irino,2010-04-21,244240,7,11,1,0.602,0.0392,0.932,0,0.322,-4.198,0.0434,136.042,4,0.708,Dragon Night,0.9956759870955435,Dream,0.9979454434576415
汚(けが)れた舌 (2005) ,肌のすきま,肌のすきま,肌のすきま,dorlis,2005-05-18,314900,2,4,0,0.534,0.336,0.535,7.25e-06,0.195,-6.343,0.0346,124.941,4,0.553,さよならごっこ,0.9943700573529406
女王の教室 (2005) ,EXIT,EXIT,Fishing,chelmico,2019-08-21,228466,37,0,0,0.708,0.0586,0.783,0,0.0832,-4.214,0.0739,174.993,4,0.596,ODD FUTURE,0.9992927644194145
山桜 (2008) ,栞,栞,泣きたくなるほど嬉しい日々に,Creep Hyp,2018-09-26,261546,58,6,1,0.505,0.0117,0.883,0,0.0578,-3.094,0.0481,100.496,4,0.666,明日はきっといい日になる,0.9976718344414128,栞,1.0
ウソコイ (2001) ,Separate Ways,Separate Ways (Worlds Apart),Frontiers,Journey,1983-02-22,323706,67,0,1,0.451,0.0188,0.962,3.17e-06,0.277,-3.947,0.0734,131.435,4,0.377,心臓を捧げよ!,0.9916096323520023
口裂け女2 (2008) ,覚めない夢,覚めない夢,TIGHT,Rekko,2018-03-07,252786,3,9,1,0.635,0.00973,0.544,0,0.0557,-4.707,0.0769,95.718,4,0.393,恋人失格,0.9946568530885569
百鬼夜行抄 (2007) ,ねがいごと,ねがいごと,ねがいごと,波羅ノ鬼,2020-11-01,325000,28,0,1,0.503,0.223,0.695,2.09e-06,0.125,-4.825,0.0434,150.006,3,0.27,THE GIFT,0.989770968295774
諫山節考 (2002) ,手紙,手紙,シャンデリア,back number,2015-12-09,270506,54,7,1,0.458,0.0186,0.54,0,0.0991,-3.372,0.0263,145.827,4,0.313,inside you,0.9982464570898625
禁断の果実 (1994) ,Miss You,Miss You,Dear Happy,Gabrielle Aplin,2020-01-17,197546,43,9,1,0.592,0.178,0.686,0,0.111,-6.904,0.0389,101.015,4,0.397,AM11:00,0.9943394109340178
アリー・myラブ Ally McBeal (1997) ,Searchin' My Soul,Searchin' My Soul,Songs From Ally McBeal Featuring Vonda Shepard,Vonda Shepard,1998-04-22,233493,26,10,1,0.481,0.00304,0.859,0.0145,0.161,-5.726,0.0353,126.016,4,0.488,Aurora,0.9991057175968325
タッチ Touch (2005) ,歓びの種,歓びの種,"Single Collection ""five-star""",YUKI,2002,331066,31,5,1,0.469,0.0953,0.641,0.0016,0.0838,-6.497,0.0288,159.704,4,0.522,宿命,0.9977522303136097,Shukumei,0.9977522303136097
山桜 (2008) ,栞,栞,泣きたくなるほど嬉しい日々に,Creep Hyp,2018-09-26,261546,58,6,1,0.505,0.0117,0.883,0,0.0578,-3.094,0.0481,100.496,4,0.666,明日はきっといい日になる,0.9976718344414128,栞,1.0
沙粧妙子-最後の事件- (1995) ,LADY LUCK,LADY LUCK,フロム イエスタデイ,Keisuke Kuwata,1992-06-27,351400,31,9,0,0.687,0.605,0.604,2.42e-05,0.071,-8.15,0.0288,103.137,4,0.597,ユーモア,0.992776637254086
STAND UP!! (2003) ,言葉より大切なもの,言葉より大切なもの,ハダシの未来 / 言葉より大切なもの,ARASHI,2003-09-03,241863,47,2,1,0.434,0.00408,0.929,0,0.093,-3.738,0.0452,168.641,4,0.67,明日も,0.9985214361479449
ひとりぼっちの君に (1998) ,太陽のグラヴィティー,太陽のグラヴィティー,CRAVING,Fayray,2013-09-11,245120,17,6,0,0.622,0.0416,0.972,0.00113,0.325,-1.83,0.0336,128.047,4,0.775,新宝島,0.9951547416301028,サウダージ,0.9965610418590245,あの娘シークレット,0.9972770916112665,乙女解剖,0.9985109136496172,劣等上等 feat. 鏡音リン・レン,0.9931390625625582,右肩の蝶,0.9898421605316166,Touch You - 田村ver.,0.9996364303545262
大人のキス (1993) ,接吻,接吻,Sunny Side Of Original Love,Original Love,1993-12-08,280693,54,4,0,0.599,0.139,0.815,1.98e-05,0.142,-7.645,0.048,96.028,4,0.649,空に歌えば,0.9920798492560063
誰よりもママを愛す (2006) ,惑星タイマー,惑星タイマー,ALL SONGS MUST PASS -Office Augusta 20th Anniversary BEST-,Fukumimi,2012-02-22,280706,29,0,1,0.427,0.441,0.695,0,0.0715,-3.922,0.0283,163.992,4,0.283,点描の唄,0.9985357174044193,silent,0.9941899823599543,In the Stars (feat. Kiiara),0.9947871894606002
ガリレオ Galileo (2007) ,KISSして,KISSして,KISSして,Masaharu Fukuyama,2010-11-17,222626,23,6,1,0.467,0.000353,0.851,0,0.33,-4.203,0.0526,93.873,4,0.644,シグナル,0.9967954201019101,Walking with you,0.9902351943835457,swim,0.9937148590951944
まんてん 満天 (2002) ,この街,この街,この街,KENT WILD,2019-12-25,224999,5,7,1,0.63,0.18,0.649,0,0.0811,-7.376,0.223,172.061,4,0.851,ハレルヤ,0.9989795896928957,甘えちゃってSorry,0.99512695879822
あんどーなつ (2008) ,ただ、ありがとう,ただ、ありがとう,20th Anniversary BEST 花鳥風月,Monkey Majik,2021-01-20,223386,37,9,1,0.548,0.459,0.716,0,0.307,-3.881,0.0272,87.027,4,0.711,Sing Out!,0.9966804808741134
超劇場版 ケロロ軍曹2 深海のプリンセスであります！ (2007) ,その手をつないで,その手をつないで,Song is Beautiful,Misato Watanabe,1985,311240,15,10,1,0.745,0.223,0.836,1.47e-06,0.103,-3.01,0.0436,104.99,4,0.664,Never Grow Up,0.9955340147538281,傘,0.9970278952388615,Prince,0.998448170659878,きらきら,0.9940536038789289
幸福(しあわせ)のスイッチ (2006) ,幸福のスイッチ,幸福のスイッチ - 映画「幸福のスイッチ」主題歌,ちょうちょ,ベベチオ,2008-02-13,211200,0,8,1,0.69,0.417,0.569,0,0.0812,-4.953,0.0255,107.902,4,0.73,Closer - Tokyo Remix,0.994365021030829
鬼嫁日記 いい湯だな (2007) ,Again,Again,Fetty Wap (Deluxe),Fetty Wap,2015-09-25,312240,68,11,0,0.748,0.0062,0.733,0,0.329,-4.421,0.072,93.019,4,0.291,Baby,0.9944986999495454
将太の寿司 (1996) ,ぼくらが旅に出る理由,ぼくらが旅に出る理由,野宮真貴 渋谷系ソングブック,Maki Nomiya,2018-10-31,455453,20,9,1,0.691,0.203,0.603,0.00039,0.108,-5.324,0.0254,108.934,4,0.56,ハルノヒ,0.99733491434324
同窓会 (1993) ,CROSS ROAD,CROSS ROAD,Atomic Heart,Mr.Children,1994-09-01,272706,50,2,1,0.563,0.143,0.7,0,0.13,-6.657,0.0231,86.965,4,0.7,トリコ,0.9974031166331838,CHILDAYS,0.9880377326141472
レガッタ～君といた永遠 Regatta (2006) ,君という名の翼,君という名の翼,5296,KOBUKURO,2007-11-07,303813,46,2,1,0.634,0.198,0.853,0,0.273,-4.773,0.0363,134.508,4,0.5,ボーイフレンド,0.9930368355284628
フレディVSジェイソン Freddy vs. Jason (2003) ,When Darkness Falls,When Darkness Falls,The End of Heartache (Special Edition),Killswitch Engage,2004-05-03,232546,44,8,1,0.437,0.000421,0.952,0.00335,0.248,-3.433,0.0769,89.996,4,0.332,Pretender,0.9955175750428871,アゲイン,0.9968663164722313,オレンジ,0.9948695315271601,ハイスクール [ANIME SIDE] -Alternative-,0.9983437346805841,FLY HIGH!!,0.9941394581186278
3年B組金八先生 第2シリーズ (1980) ,人として,人として,loved one,おかん,2014-12-10,348920,13,10,1,0.517,0.0495,0.777,0,0.19,-3.319,0.0348,173.908,4,0.605,真夏の夜の匂いがする,0.9964691037021323,アイデア,0.9913927173434995
ユモレスク 逆さまの蝶 (2006) ,逆さまの蝶,逆さまの蝶,初雪,Snow,2007,273506,39,1,1,0.581,0.0859,0.846,6.63e-06,0.148,-4.342,0.0297,90.026,4,0.784,Vinyl,0.997603554920064,願い,0.9983932868223684
お・ばんざい！ (2007) ,SHINE,SHINE,QUAVO HUNCHO,Quavo,2018-10-12,163823,46,4,1,0.865,0.0487,0.612,0,0.157,-6.316,0.384,165.023,4,0.607,さらしもの (feat. PUNPEE),0.9897094424979637
夏目友人帳 (2008) ,夏夕空,夏夕空,絆歌,Kousuke Atari,2008-10-01,290333,34,4,1,0.559,0.899,0.282,4.55e-06,0.201,-8.671,0.0296,133.871,4,0.221,たばこ,0.9958685492834172
87%－私の5年生存率－ (2005) ,キミがいる,キミがいる,Chou Ikimonobakari Tennen Kinen Members Best Selection,Ikimonogakari,2006,346840,29,2,1,0.618,0.159,0.861,0,0.11,-3.517,0.0332,103.962,4,0.686,優しいあの子,0.9973916315630742
すてきにコモン！ (2006) ,ハートに火をつけて,ハートに火をつけて,ハートに火をつけて,ZARD,2006-05-10,298118,36,3,1,0.612,0.535,0.802,0.00179,0.371,-5.31,0.0395,145.954,4,0.702,まちがいさがし,0.9911042883722668,合法的トビ方ノススメ,0.9874691723628791,キュン,0.9945477923954141
ダイブ!! DIVE!! (2008) ,SKY,SKY (feat. Boogie),SHAKE THE SNOW GLOBE (DELUXE),Russ,2020-05-19,213281,52,1,0,0.489,0.516,0.467,0,0.153,-8.108,0.134,80.425,4,0.616,Hug,0.9804342505252202
スワンの馬鹿！～こづかい3万円の恋～ (2007) ,夢を誓った木の下で,夢を誓った木の下で,夢を誓った木の下で,ハラフウミ(原由子×風味堂),2007-11-07,350527,6,0,1,0.504,0.669,0.693,0,0.106,-5.803,0.0284,121.841,4,0.351,シンクロニシティ,0.9924450356769439
