"作業ID","作業者","作業者ページURL","承認日時","1. 1. 最近興味があるトピックを，複数個回答してください","2. 2. 1で回答したトピックに関するWebページのURLを合計20個になるように列挙してください","3. 3. 1で回答したトピック以外に興味があるトピックを1つ回答してください","5. 5. 検索結果中の上位10件の中で，1で入力したトピックも考慮して，興味にあったWebページのURLを0個から3個の範囲で回答してください．","6. 6. 検索結果中の上位10件の中で，最も分かりやすかったWebページのURLを1個だけ回答してください． "
"65986207","yanamarie","http://crowdworks.jp/public/employees/120691","2023-02-14 03:27:36","同性婚合法化, イギリスストライキ, youtube収益, かぎ編み, シャキーラ, 一般教書演説, ホームレスyoutuber,","https://www.marriageforall.jp/marriage-equality/world/
https://weare.lush.com/jp/lush-life/our-ethics/lush_campaign/marriage-equality/
http://emajapan.org/news/notice/2178
http://www.news-digest.co.uk/news/news/panorama/23783-2023-1-17.html
https://www.bbc.com/japanese/features-and-analysis-63771493
https://www.bbc.com/japanese/64073051
字数制限で入力できません。続きはメッセージで送信します。","マンダロリアン3","https://www.cinemacafe.net/article/2023/01/17/82974.html
https://av.watch.impress.co.jp/docs/news/1470877.html
https://news.yahoo.co.jp/articles/195d1d0e8ce1c3aa2d233827a820a20ccdec0567","https://av.watch.impress.co.jp/docs/news/1470877.html"
"65986219","Weetabix","http://crowdworks.jp/public/employees/2884266","2023-02-14 03:27:39","ビジネスホテル,ワカサギ釣り,いちご狩り,回転寿司,節約,認知症","① https://www.dormyinnfun.com/dormy-inn-recommended/
② https://nlab.itmedia.co.jp/research/articles/802997/
③ https://travel.rakuten.co.jp/mytrip/ranking/business-hotel-chain
④ https://www.naturum.co.jp/contents/scene/wakasagi/
⑤ https://www.jalan.net/kankou/g2_78/
⑥ https://greenfield.style/article/6870/
⑦ https://ichigo.walkerplus.com/ranking/ar0300/
⑧ https://orion-bustabi.com/kanto-feature/ichigo","オイルヒーター","① https://my-best.com/1097
② https://oilheater.delonghi.co.jp/product/ofr.html
③ https://www.irisplaza.co.jp/index.php?KB=KAISO&CID=7383","https://my-best.com/1097"
"65986522","garusuuuuuuuuu","http://crowdworks.jp/public/employees/3801003","2023-02-14 03:27:44","アニメ,漫画,ゲーム","https://www.animatetimes.com/tag/details.php?id=5228
https://abema.tv/video/genre/animation
https://www.hulu.jp/display/Anime
https://akiba-souken.com/anime/ranking/
https://ranking.net/rankings/best-kamianimes
https://sakidori.co/article/1242070
https://osama-ranking.com/
https://ranking.net/rankings/best-fantacy-animes
https://kanavu.jp/isekai-anime/
https://mo-la.jp/entertainment/56721/","バイク","なし","https://www.goobike.com/index.html"
"65986643","bissandcima","http://crowdworks.jp/public/employees/4908047","2023-02-14 03:27:45","パンダ、関西","https://www.ueno-panda.jp/
https://ja.wikipedia.org/wiki/
https://www.aws-s.com/animals/panda/
https://ja.wikipedia.org/wiki/
https://www.kansai-airport.or.jp/
https://www.nikkei.com/local/kansai/
https://www.the-kansai-guide.com/ja/about/detail/01/
https://kansai.or.jp/
https://www3.nhk.or.jp/kansai-news/
https://mainichi-panda.jp/
https://www.pandachina.jp/panda/
https://www.yomiuri.co.jp/national/","和歌山アドベンチャーワールド","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiKlueL04v9AhWvrlYBHQqNC084ChAWegQIHhAB&url=https%3A%2F%2Fpandababy-aws.com%2F&usg=AOvVaw1o-D9H7F-V6n69ClJM-N5E","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiKlueL04v9AhWvrlYBHQqNC084ChAWegQIHhAB&url=https%3A%2F%2Fpandababy-aws.com%2F&usg=AOvVaw1o-D9H7F-V6n69ClJM-N5E"
"65986744","大河内嘉子","http://crowdworks.jp/public/employees/5196867","2023-02-14 03:27:46","各省庁の動き,人工知能,トルコ地震,確定申告,図書館","www.cas.go.jp
www.clb.go.jp
www.jinji.go.jp
www.cao.go.jp
www.digital.go.jp
www.soumu.go.jp
www.moj.go.jp
www.mofa.go.jp
www.mof.go.jp
www.mext.go.jp
www.mhlw.go.jp
www.maff.go.jp
www.meti.go.jp
www.mlit.go.jp
www.mlit.go.jp
www.mod.go.jp
www.fdma.go.jp
www.nta.go.jp
www.jpo.go.jp
www.jma.go.jp","人工知能","https://atmarkit.itmedia.co.jp/ait/articles/2103/29/news019.html
https://www.ai-gakkai.or.jp/whatsai/
https://www.mext.go.jp/kids/find/kagaku/mext_0008.html","https://www.ai-gakkai.or.jp/whatsai/"
"65986876","is2ytengen","http://crowdworks.jp/public/employees/5120875","2023-02-14 03:27:46","鬼滅の刃映画,イタズラ動画,トルコの地震","https://kimetsu.com/anime/worldtour2023/goods/
https://www.ufotable.co.jp/kimetsu/event/worldtour/
https://eiga.com/amp/movie/98553/
https://eiga.com/amp/news/20230117/20/
https://webronza.asahi.com/amp/2023020400002.html
https://asagei.biz/excerpt/54515
https://www.inshokuten.com/foodist/article/6806/
https://www.j-cast.com/2023/02/08455605.html?p=all
https://www.bbc.com/japanese/64580014.amp","全国旅行支援","https://www.jtb.co.jp/kokunai/ryokoshien/
https://travelersnavi.com/coupon/kenminwari-kakudai
https://www.knt.co.jp/zenkoku-ryokoshien/","https://www3.nhk.or.jp/news/html/20230210/amp/k10013976791000.html"
"65986945","minasenantoka","http://crowdworks.jp/public/employees/453571","2023-02-14 03:27:47","ダチョウ、スマホ決済、マイナ、灯油、AEW、プリンレシピ、競輪、きのこ、プロレス","dacho.co.jp
gentosha.jp/article/17921/
dacho-farm.jp/about
atprotect.jp
ichitaka.co.jp/touyu/trivia/119/
gogo.gs
id-credit.com/index.html
wrestling-now.net
aozora-band.com/wpwn/
cookpad.com/recipe/723942
mi-journey.jp/foodie/78516/
sirogohan.com/recipe/purin/
macaro-ni.jp/36591
cake.jp/mag/puddings/22152/
oddspark.com/keirin/
keirin-station.com
keirin.netkeiba.com
sp.njpw.jp
noah.co.jp
all-japan.co.jp","銀杏中毒","https://hakata-hisamatsu.net/blog/knowledge/ityou-ginnan-3465.html
https://www.yodosha.co.jp/rnote/trivia/trivia_9784758116169.html
https://www.j-poison-ic.jp/report/ginkgo202209/","www.keyaki-shiatsu.com/column/銀杏中毒について/"
"65987200","mirin036","http://crowdworks.jp/public/employees/5054908","2023-02-14 03:27:53","マウンテンバイク,日銀総裁,第5類","www.trekbikes.com
activityjapan.com
satoyama-tourism.com
www.summer.fujiten.net
bio.nikkeibp.co.jp
bike-plus.com
www.japan-mtb.org/
tabi-rin.com
www.boj.or.jp
toyokeizai.net
www.canyon.com
www.nippon.com
www.yu-cho-f.jp
financial-field.com
www.fsight.jp
www.asahi.com
www3.nhk.or.jp
www.mhlw.go.jp
www.carenet.com
www.joqr.co.jp/qr/article/78625/","電気料金","https://enechange.jp/try/input","https://www.tohoku-epco.co.jp/dprivate/menu/"
"65987399","shinmiko","http://crowdworks.jp/public/employees/932983","2023-02-14 03:27:53","仮想通貨，今後，儲かる，","https://www.maneo.jp/media/cr-xrp-makemoney-rd/
https://www.kushim.co.jp/media/cryptocurrency-moukaru
https://realpay.jp/finance/crypto-kasegeru/
https://www.coindeskjapan.com/crypt-profit/
https://minkabu.co.jp/choice/cc_recommended-currency/
https://www.wills-net.co.jp/media/a-bitcoin-profit/
https://fisco.jp/media/btc-money/
https://www.sbbit.jp/article/fj/98714
https://www.asahi.com/ads/start/articles","ビットコイン","https://bitbank.cc/info/bitcoin/about","https://bitbank.cc/info/bitcoin/about"
"65987410","hirowing","http://crowdworks.jp/public/employees/2579079","2023-02-14 03:27:56","トルコ地震，ガーシー逮捕，中国気球","400文字以下のため文字数オーバーで入力できません。残りはサイトメールで送りますので返信願います。
https://www.jrc.or.jp/contribute/help/2023turkeysyria/
https://www.bbc.com/japanese/64580014
https://www.youtube.com/watch?v=7cu7BxBbA5g
https://forbesjapan.com/articles/detail/60841
https://www.yomiuri.co.jp/science/20230209-OYT1T50204/
https://www.mofa.go.jp/mofaj/press/release/press3_001064.html","スシロー炎上動画","https://matenrou-opera.jp/kaitenzushi-matome/
https://matenrou-opera.jp/sushi-pero/
https://www.bbc.com/japanese/64580014","https://www.bbc.com/japanese/64580014"
"65987772","　みかづき　","http://crowdworks.jp/public/employees/4254975","2023-02-14 03:27:58","NISA,赤ちゃん花粉症,ローソン,ひなまつりレシピ,罠の戦争","https://s.minkabu.jp/
https://www.fsa.go.jp/
https://cc.kabu-lab.jp/
https://www.smtb.jp/
https://clover.co.jp/
https://www.elle.com/
https://www.allegra.jp
https://kidsline.me
https://caps-clinic.jp
https://macaro-ni.jp
https://jp.moony.com
https://kinarino.jp
https://benesse.jp
https://iemone.jp
https://s.mognavi.jp
https://www.cotta.jp/
https://kabu.com/
https://www.ktv.jp/
https://tver.jp/
https://cinema.ne.jp/","ヤクルト1000","https://www.yakult.co.jp/","https://www.yakult.co.jp/"
"65987818","voxy9153","http://crowdworks.jp/public/employees/1587107","2023-02-14 03:27:59","スラムダンク，ヤツドキ，クレミア，snowのAIアバター，サ活，デンキブラシ","https://www.cinematoday.jp/news/N0135069
https://ciatr.jp/topics/320810
https://www.yatsudoki.jp/
https://aumo.jp/articles/1851683
https://response-up.com/archives/8625
https://entabe.jp/53153/yatsudoki-hinamatsuri-sweets
https://www.nissei-com.co.jp/cremia/
https://macaro-ni.jp/64024
https://tabigo-media.net/kuremia-calorie/
400文字以下だと20個URL貼れません","星降る夜に","https://www.tv-asahi.co.jp/hoshifuru_yoruni/
https://sweetsvillage.com/blog/softcream/cremia-2/","https://sweetsvillage.com/blog/softcream/cremia-2/"
"65988148","riomama04","http://crowdworks.jp/public/employees/5057931","2023-02-14 03:28:00","関東大雪、マスク着用緩和、トルコ地震、連続強盗事件、回転ずし迷惑行為、ガーシー議員、","https://onl.bz/rHH1M6P
https://onl.bz/yXkVWPJ 
https://onl.bz/NbF4DUW 
https://onl.bz/2hpKVm4
https://onl.bz/1Zxnk4i 
https://onl.bz/B9kth5Y 
https://onl.bz/FTdHrq3
https://onl.bz/375jaBu
https://onl.bz/SuVKNU6
https://onl.bz/ppn4kw2
https://onl.bz/8MKPe4i
https://onl.bz/4Ly9FDH 
https://onl.bz/DpZfUKT
https://onl.bz/RW6xfns
https://onl.bz/N6Z4H2x 
https://onl.bz/ZuzDSeJ
https://onl.bz/wNUBBYA","WBC","https://www.wbc2023.jp/
https://www.sanspo.com/data/baseball/japan-players/
https://www.japan-baseball.jp/","https://www.wbc2023.jp/"
"65988368","kojima1204","http://crowdworks.jp/public/employees/3538501","2023-02-14 03:28:01","児童手当,花粉,2023年春のアニメ","https://www.nhk.or.jp/politics/articles/feature/95407.html
https://part.shufu-job.jp/news/solution/13658/
https://www.tokyo-np.co.jp/article/228988
https://money-viva.jp/money-news/0034/
https://financial-field.com/living/entry-183632
https://www.nikkei.com/article/DGXZQOUA065FN0W2A201C2000000/
https://www.meiji.co.jp/karadakaizen/know/entry004.html
※入り切らないのでこれ以降はメッセージします","子どもの昼寝はいつまで","https://woman.mynavi.jp/kosodate/articles/1444","https://pocket.chiikihoiku.net/child-nap/"
"65989335","ねるねむ","http://crowdworks.jp/public/employees/4523774","2023-02-14 03:28:06","羽生結弦,陳情令,魔道祖師,ハラミちゃん,大奥,よみぃ,けいちゃん,かてぃん,吸血鬼すぐ死ぬ,清塚信也,冬アニメ","時間切れのため、後程メッセージ欄より回答します。","SPY×FAMILY","https://spy-family.net/
https://shonenjumpplus.com/episode/10834108156648240735
https://www.tohostage.com/spy-family/","https://spy-family.net/"
"65989391","てだ２００","http://crowdworks.jp/public/employees/329254","2023-02-14 03:28:07","藤井聡太王将，ハライチ・岩井勇気が「ぽかぽか」生出演で転倒、大雪情報、東芝買収問題、人魚のミイラの正体、日銀総裁人事、トルコ地震、タラちゃん声優死去","https://www.nikkansports.com/general/nikkan/news/202302100000601.html
https://www.youtube.com/watch?v=35SoP1z78sw
https://news.yahoo.co.jp/articles/d2a301313cb2f8226049c1107617596fd3a2a117
https://ima.goo.ne.jp/word/232185
https://www.jma.go.jp/jma/bosaiinfo/snow_portal.html
https://tenki.jp/forecaster/deskpart/2023/02/10/21819.html
https://www.nikkei.com/article/DGXZQOUB106UI0Q3A210C2000000/","中国の監視気球","https://www.youtube.com/watch?v=7a6QuZaTo3Q
https://forbesjapan.com/articles/detail/60821
https://www.nippon.com/ja/news/fnn20230210484098/","https://news.yahoo.co.jp/articles/362209a2566a5ad944e0cb3d382ef3569fcaf295"
"65990465","toshiynjp","http://crowdworks.jp/public/employees/1907686","2023-02-14 03:28:35","chatGPT，朝乃山，新型コロナウイルス，健康診断，車検，朝日新聞，タブレット，台湾有事，徴用工問題，地震，SDGｓ，ＥＶ，カーボンニュートラル","https://chatgptonline.net/jp.php
https://www.asanoyama.com/about-me/
https://ja.wikipedia.org/wiki/%E9%BB%92%E7%94%B0%E6%9D%B1%E5%BD%A6
https://stopcovid19.metro.tokyo.lg.jp/
https://www.kyoukaikenpo.or.jp/g4/cat410/sb4020/
https://www.hokurikuyobou.or.jp/kenshin/
https://toyama-nishi.jp/kenshin/teiki/
https://otakara-shaken.com/guide/shaken/
https://www.hayataro.com/
https://www.asahi.com/","慰安婦問題","https://www.mofa.go.jp/mofaj/a_o/rp/page25_001910.html
https://www.awf.or.jp/2/survey.html
https://wam-peace.org/ianfu-mondai","https://wam-peace.org/ianfu-mondai"
"65990595","mihaylov","http://crowdworks.jp/public/employees/163607","2023-02-14 03:28:41","ダルビッシュ有契約延長,連続強盗事件ルフィ","https://full-count.jp/2023/02/10/post1336007/
https://news.yahoo.co.jp/articles/c5a837488613fdb57f9d41e986cbdc694d3a065c
https://www.sanspo.com/article/20230210-DOTZ23HW5FFI7FJM2NWB2CMBPI/
https://hochi.news/articles/20230210-OHT1T51167.html
https://www.nikkansports.com/baseball/mlb/news/202302100000041.html
https://news.tv-asahi.co.jp/news_society/articles/000286864.html","トルコ大地震","https://www.jamstec.go.jp/j/pr/topics/column-20230208/
https://forbesjapan.com/articles/detail/60841","https://www.jamstec.go.jp/j/pr/topics/column-20230208/"
"65991948","weskun","http://crowdworks.jp/public/employees/4959740","2023-02-14 03:28:44","防衛費，ルフィ，ポルシェ","https://bunshun
https://www.nikkei
https://toyokeizai
https://www.nippon
https://news.livedoor
https://news.tv-asahi
https://topics.smt
http://ysokuhou
https://www3.nhk
https://www.carsensor
https://www.nikkan-gendai
https://www.dailyshincho
https://milirepo.sabatech
https://www.dailyshincho
https://www.tokyo-sports
https://www.msn.com
https://kotobank
https://jbpress.ismedia
https://zuuonline
https://lineup.toei","ベイスターズ","なし","https://bunshun"
"65989925","sayuri0718","http://crowdworks.jp/public/employees/2436650","2023-02-14 03:31:53","バレンタイン2023、さくらスイーツ2023","https://www.vogue.co.jp/lifestyle/article/valentine-chocolate-2023
https://fujingaho.ringbell.co.jp/shop/e/e-tokusyu-chocolate-vd/
https://www.tokyu-dept.co.jp/ec/cmShopTopPage6.html
https://www.royce.com/contents/precious
https://tabizine.jp/article/514016/
https://www.lindt.jp/c/rmd/valentineday
https://cake.jp/category/valentine/
https://www.godiva.co.jp/shop/e/evalentin/","ホワイトデー 2023","https://www.takashimaya.co.jp/shopping/gift/whiteday/
https://www.fashion-press.net/news/99368
https://gurusuguri.com/special/season/whiteday/ranking/?__ngt__=TT13dc04edc005ac1e4ae226JNaYVHt701TZpX32ITyHKY","https://www.takashimaya.co.jp/shopping/gift/whiteday/"
